, 0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5
0.00625, 39982.0, 39855.0, 39409.0, 38384.0, 36556.0, 34356.0, 31685.0, 28990.0, 25965.0, 22917.0,
0.0125, 39981.0, 39856.0, 39429.0, 38148.0, 35510.0, 31698.0, 26931.0, 21936.0, 17063.0, 12670.0,
0.025, 39981.0, 39778.0, 38811.0, 35642.0, 29773.0, 22085.0, 14761.0, 8719.0, 4570.0, 2350.0,
0.05, 39982.0, 39763.0, 38547.0, 34106.0, 24752.0, 14821.0, 7116.0, 2975.0, 1341.0, 546.0,
0.1, 39982.0, 39817.0, 38695.0, 33351.0, 20856.0, 8543.0, 2793.0, 1006.0, 172.0, 14.0
0.2, 39982.0, 39766.0, 38454.0, 32062.0, 15722.0, 2839.0, 203.0, 10.0, 0.0, 0.0
0.4, 39983.0, 39769.0, 38326.0, 30935.0, 12331.0, 1347.0, 48.0, 3.0, 0.0, 0.0,
0.8, 39983.0, 39693.0, 37552.0, 27159.0, 6859.0, 364.0, 15.0, 2.0, 2.0, 0.0,
1.6, 39984.0, 39744.0, 38269.0, 29930.0, 8660.0, 370.0, 19.0, 6.0, 2.0, 1.0,
3.2, 39984.0, 39697.0, 37833.0, 27846.0, 6354.0, 221.0, 7.0, 1.0, 0.0, 0.0
6.4, 39983.0, 39722.0, 38114.0, 28960.0, 7517.0, 319.0, 15.0, 2.0, 1.0, 1.0
12.8, 39982.0, 39740.0, 38274.0, 30056.0, 8702.0, 404.0, 21.0, 2.0, 0.0, 0.0
25.6, 39982.0, 39730.0, 38186.0, 29796.0, 8690.0, 401.0, 16.0, 2.0, 1.0, 1.0

0.64*10, 39983.0, 39725.0, 38060.0, 28825.0, 7247.0, 282.0, 12.0, 3.0, 0.0, 0.0
2.56*10, 39982.0, 39728.0, 38211.0, 29624.0, 8099.0, 354.0, 25.0, 3.0, 0.0, 0.0
